tipo=Acquisizione  
data=02/12/2024
ora=14:44:09
sps=1000
etichetta=
note=
numero canali=24
shot x=
shot y=
shot z=
canale;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
 33;-16;3364;-2869;6315;-1006;-685;-4;-1;269;134;80;0;58;-1;44;19;-3;17;12;13;1;10;10;5
 34;-15;4768;-6198;7854;-1424;-357;-3;-2;93;137;78;-1;60;0;35;19;-3;16;11;12;0;11;10;5
 35;-15;5047;-9077;8138;-1544;-142;-3;-2;-163;132;71;0;55;0;31;23;-1;16;11;10;-3;11;10;3
 36;-14;4256;-10879;7138;-1188;-159;-3;-3;-442;98;66;1;48;2;21;34;1;15;11;10;-5;12;9;-1
 37;-14;2624;-10723;5263;-360;-355;-2;-1;-685;27;56;2;38;3;18;30;3;15;12;10;-7;11;10;-5
 38;-14;475;-8079;3034;860;-606;-3;-1;-829;-79;38;2;29;3;21;22;3;13;13;9;-8;10;10;-5
 39;-13;-1569;-3555;690;2290;-804;-3;-1;-847;-208;5;2;23;2;20;18;3;11;13;9;-7;10;10;-3
 40;-13;-3007;1166;-1713;3680;-903;-3;-1;-742;-354;-44;2;17;2;15;19;2;10;14;9;-6;10;10;-4
 41;-13;-3607;4235;-3979;4782;-883;-2;-1;-547;-490;-107;2;17;3;10;20;4;13;11;9;-3;9;9;-6
 42;-13;-3309;4806;-5748;5352;-651;-2;0;-308;-583;-181;2;15;4;5;19;3;14;10;8;-1;11;6;-7
 43;-13;-2224;3388;-6635;5192;-182;0;0;-81;-600;-264;2;9;3;-3;8;4;3;8;8;2;11;4;-7
 44;-15;-622;1239;-6317;4322;390;-1;0;80;-539;-341;2;-3;3;-8;-2;4;-3;11;7;4;9;4;-7
 45;-15;1219;-442;-4698;2953;921;-1;1;157;-416;-394;1;-22;2;-14;-14;2;-5;8;6;6;7;4;-5
 46;-13;2980;-1142;-2108;1281;1456;-2;0;192;-248;-411;0;-51;1;-14;-19;1;-6;0;6;2;4;4;0
 47;-13;4270;-1087;716;-540;2107;-3;0;234;-64;-387;-1;-88;-1;-14;-19;-3;-2;-7;9;0;0;4;4
 48;-11;4763;-849;2827;-2268;2872;-2;0;293;96;-321;-1;-127;-1;-20;-20;-2;-9;-13;6;-6;-2;4;4
 49;-11;4235;-829;3606;-3577;3582;-2;0;343;200;-214;-1;-164;-1;-26;-16;-1;-12;-12;-2;-12;-5;2;3
 50;-11;2721;-1050;3093;-4184;3981;-1;-1;360;250;-80;-2;-198;-2;-29;-19;-3;-20;-14;-14;-14;-6;0;4
 51;-9;596;-1353;1866;-3945;3877;0;-1;332;270;53;-2;-224;-2;-30;-20;-4;-24;-15;-18;-14;-6;-4;7
 52;-8;-1530;-1625;639;-2934;3255;0;-1;226;281;158;-2;-237;-2;-34;-26;-4;-25;-18;-17;-16;-5;-5;8
 53;-7;-2996;-1798;-221;-1417;2209;1;-2;28;297;218;-2;-231;-2;-41;-33;-4;-21;-18;-19;-19;-1;-7;8
 54;-7;-3339;-1766;-771;204;807;1;-2;-210;325;232;-2;-205;-2;-48;-40;-3;-23;-19;-21;-18;-7;-9;6
 55;-6;-2479;-1445;-1189;1477;-812;2;-1;-397;350;218;-1;-161;0;-55;-49;-2;-30;-18;-25;-1;-12;-8;4
 56;-6;-759;-889;-1514;2061;-2279;4;-1;-464;342;209;0;-103;2;-63;-59;1;-30;-19;-26;16;-19;-3;-1
 57;-6;1177;-239;-1671;1915;-3161;5;-1;-429;288;224;1;-39;3;-68;-70;3;-28;-21;-25;28;-20;-6;-6
 58;-6;2714;393;-1640;1315;-3257;4;-1;-381;185;261;2;21;2;-69;-78;2;-25;-21;-22;29;-21;-11;-4
 59;-7;3459;921;-1453;634;-2653;5;0;-397;38;290;1;69;2;-62;-85;2;-25;-24;-17;17;-21;-15;-3
 60;-6;3248;1226;-1118;72;-1596;4;0;-516;-142;288;1;101;2;-52;-89;2;-27;-23;-14;13;-17;-15;-5
 61;-7;2123;1175;-619;-378;-411;3;0;-694;-310;251;2;124;2;-37;-85;4;-30;-26;-12;5;-13;-14;-6
 62;-7;410;748;-14;-784;589;1;2;-805;-401;189;1;135;3;-21;-73;3;-33;-28;-11;-5;-10;-14;-6
 63;-7;-1245;70;544;-1154;1191;-1;2;-731;-400;104;1;141;3;-7;-50;3;-35;-27;-6;-8;-10;-17;-7
 64;-7;-2207;-623;895;-1423;1329;-4;3;-461;-349;14;1;148;3;3;-22;3;-33;-23;-2;-24;-12;-18;-6
 65;-7;-2177;-1107;970;-1498;1083;-6;3;-85;-323;-81;0;167;1;11;6;2;-29;-19;-1;-28;-10;-18;-3
 66;-6;-1233;-1258;809;-1339;648;-7;3;283;-380;-168;-1;190;-1;19;30;-2;-23;-13;1;-32;-9;-15;3
 67;-5;277;-1072;526;-970;234;-6;2;584;-516;-233;-2;216;-2;27;45;-3;-14;-8;1;-31;-6;-10;6
 68;-4;1893;-636;247;-474;-93;-4;2;854;-651;-270;-2;232;-1;35;50;-2;-3;-2;2;-20;-3;-5;4
 69;-4;3113;-88;51;44;-403;-1;0;1162;-696;-286;-2;226;-2;44;49;-2;12;3;-1;-12;3;-4;4
 70;-4;3525;417;-54;467;-751;0;-2;1508;-615;-304;-2;198;-3;49;45;-3;27;10;-2;-4;8;0;6
 71;-2;2964;745;-87;710;-1101;0;-3;1841;-428;-347;-3;148;-3;57;38;-4;38;16;-1;12;13;6;7
 72;-2;1527;819;-67;752;-1358;0;-4;2110;-178;-416;-2;87;-2;62;33;-4;45;24;0;25;16;12;7
 73;0;-378;639;-48;631;-1431;0;-5;2233;114;-488;-2;31;-2;66;30;-4;48;31;4;44;17;16;8
 74;0;-2100;274;-104;420;-1265;-1;-5;2114;432;-532;-2;-9;-2;71;32;-3;50;35;9;52;13;20;6
 75;1;-3065;-143;-242;185;-874;-2;-2;1702;754;-523;-1;-31;-1;79;37;-1;48;38;11;50;7;24;3
 76;0;-3075;-480;-401;-23;-353;-2;-1;1030;1039;-453;1;-43;2;94;43;2;43;39;14;50;1;26;-3
 77;-1;-2247;-620;-503;-185;146;-3;0;185;1258;-315;1;-58;2;109;48;2;36;37;21;37;0;23;-5
 78;0;-882;-501;-492;-288;486;-3;1;-691;1412;-117;1;-79;2;122;52;2;28;35;28;23;-2;18;-3
 79;-1;569;-193;-361;-329;599;-3;1;-1437;1520;112;1;-104;2;131;51;1;20;29;34;4;-3;14;-2
 80;-1;1590;120;-121;-328;504;-3;0;-1929;1563;333;1;-132;2;133;48;2;12;22;41;-24;2;11;-3
 81;-2;1834;303;173;-319;285;-3;0;-2087;1488;515;1;-179;3;126;46;3;6;13;45;-49;7;3;-5
 82;-3;1247;307;441;-320;46;-2;0;-1874;1255;657;1;-261;2;108;50;3;2;3;45;-73;15;-5;-5
 83;-4;81;125;612;-320;-125;-1;0;-1329;847;793;1;-369;3;83;56;3;-2;-2;42;-89;22;-7;-6
 84;-3;-1215;-224;650;-288;-180;0;0;-595;278;942;1;-468;2;54;62;2;-9;-4;33;-95;26;-5;-5
 85;-4;-2167;-637;565;-204;-116;1;0;122;-386;1083;-1;-515;1;22;72;1;-11;-1;26;-99;27;-4;-1
 86;-3;-2438;-933;397;-72;34;0;0;620;-1027;1154;-2;-484;0;-8;83;-1;-11;2;18;-87;26;-2;3
 87;-2;-1930;-960;197;85;186;1;0;794;-1505;1102;-2;-392;-1;-35;88;-3;-9;4;5;-59;22;2;5
 88;-2;-838;-683;6;245;250;2;0;671;-1704;906;-2;-269;0;-62;88;-2;-3;6;-11;-16;18;3;4
 89;-2;435;-198;-155;390;172;1;0;373;-1568;583;-2;-155;-1;-94;81;-2;4;7;-26;36;15;3;4
 90;0;1437;329;-264;499;-25;0;0;42;-1144;173;-2;-73;-2;-127;67;-3;11;5;-37;79;14;4;7
 91;0;1829;724;-303;550;-254;0;0;-219;-567;-265;-3;-4;-2;-158;44;-4;19;-2;-43;115;8;9;7
 92;1;1505;845;-267;539;-392;-1;0;-376;-1;-656;-3;84;-2;-188;12;-4;28;-9;-48;138;3;11;7
 93;2;587;636;-191;460;-357;-1;0;-448;426;-927;-2;219;-1;-218;-24;-5;31;-12;-52;136;-1;12;8
 94;3;-611;156;-118;320;-152;-2;0;-460;656;-1023;-2;405;-2;-251;-64;-3;30;-11;-49;120;-4;6;5
 95;3;-1689;-431;-84;142;153;-2;-1;-435;692;-920;0;614;1;-287;-102;0;31;-9;-41;84;-6;0;2
 96;2;-2289;-919;-106;-41;452;-1;0;-393;582;-644;1;778;2;-317;-138;2;36;-4;-33;37;-10;0;-4
 97;2;-2229;-1146;-171;-204;648;-2;0;-349;391;-267;3;843;2;-327;-173;2;44;0;-25;-14;-15;1;-5
 98;1;-1566;-1059;-245;-325;673;-1;-1;-302;183;112;2;778;2;-314;-202;2;50;3;-13;-71;-17;-1;-4
 99;1;-574;-703;-293;-396;526;-1;0;-233;-5;405;2;593;2;-282;-225;2;52;7;1;-120;-19;-3;-3
 100;1;360;-203;-289;-411;274;0;0;-128;-157;544;2;323;2;-263;-238;2;51;11;15;-147;-23;-3;-5
 101;0;893;279;-230;-376;21;1;0;1;-284;530;1;32;2;-276;-242;3;43;13;29;-148;-24;-2;-6
 102;-1;854;602;-130;-306;-160;1;0;117;-393;407;2;-212;2;-303;-237;3;24;15;43;-118;-23;-6;-5
 103;-1;308;675;-21;-226;-240;2;0;195;-490;239;1;-356;3;-313;-226;3;0;20;53;-77;-23;-15;-7
 104;-1;-507;501;58;-160;-227;2;0;225;-558;76;0;-380;1;-261;-212;2;-27;27;61;-25;-18;-22;-5
 105;-1;-1264;163;83;-118;-168;1;0;215;-567;-53;-1;-302;0;-123;-205;0;-53;37;62;32;-14;-21;-1
 106;0;-1686;-186;42;-97;-121;0;0;181;-497;-154;-3;-160;-1;92;-208;-3;-77;48;62;79;-10;-18;4
 107;1;-1642;-413;-39;-87;-126;0;1;143;-349;-240;-3;-3;-1;347;-228;-4;-96;56;63;112;-2;-19;5
 108;2;-1159;-457;-117;-80;-203;1;0;102;-141;-330;-1;130;-1;589;-265;-3;-112;54;62;119;10;-17;4
 109;1;-410;-332;-144;-75;-331;-1;1;55;89;-432;-2;212;-1;751;-301;-3;-125;43;59;104;25;-13;4
 110;2;385;-108;-97;-68;-465;-1;0;-9;294;-515;-3;236;-2;785;-301;-4;-134;28;56;77;38;-5;7
 111;4;951;117;2;-58;-540;-2;0;-87;423;-539;-2;220;-3;673;-224;-5;-138;9;54;32;49;6;9
 112;6;1059;254;123;-48;-509;-3;0;-166;449;-481;-2;180;-3;450;-56;-4;-137;-11;51;-13;56;14;9
 113;6;687;253;214;-39;-364;-3;0;-212;372;-337;-2;127;-2;195;183;-4;-135;-32;44;-48;63;20;8
 114;6;-27;140;245;-30;-151;-2;0;-190;221;-131;-1;64;-1;-9;443;-2;-136;-54;30;-73;70;27;5
 115;6;-807;-26;191;-16;56;-2;-1;-91;40;80;0;-4;0;-106;650;-1;-142;-77;15;-80;70;32;1
 116;6;-1337;-153;48;6;186;-1;0;68;-121;251;1;-63;2;-98;738;2;-152;-97;-2;-77;70;39;-4
 117;4;-1452;-184;-158;33;208;-1;-1;243;-231;341;1;-113;2;-24;673;2;-155;-114;-21;-64;68;45;-4
 118;4;-1166;-94;-378;62;144;0;-1;385;-277;341;1;-152;2;65;475;2;-149;-124;-42;-42;64;51;-4
 119;4;-608;116;-542;81;45;-1;-2;445;-261;257;1;-178;2;131;217;2;-138;-130;-56;-23;62;55;-4
 120;3;13;409;-599;78;-29;0;-1;395;-198;120;2;-193;3;156;-10;3;-137;-138;-67;-7;53;57;-6
 121;2;466;683;-529;43;-38;0;-1;253;-103;-25;1;-193;2;144;-138;3;-143;-148;-77;6;44;55;-5
 122;2;576;802;-346;-21;22;1;0;62;10;-136;1;-182;2;113;-147;3;-146;-156;-87;13;36;52;-5
 123;1;288;700;-105;-97;130;1;0;-120;119;-188;1;-163;3;86;-64;4;-125;-152;-92;22;27;47;-5
 124;1;-288;419;124;-178;230;1;0;-252;204;-187;0;-139;2;75;65;2;-70;-139;-93;25;16;43;-3
 125;1;-929;73;275;-247;274;0;0;-320;252;-155;0;-113;0;68;182;-1;16;-126;-96;28;7;42;1
 126;2;-1364;-206;321;-288;230;-1;0;-329;255;-113;-2;-85;-2;51;246;-4;122;-124;-104;29;-4;39;5
 127;3;-1416;-326;266;-292;98;0;1;-303;213;-78;-2;-55;-1;17;246;-2;225;-140;-116;21;-16;34;4
 128;2;-1052;-249;162;-260;-98;-1;1;-263;142;-40;-2;-22;-1;-19;193;-2;301;-166;-121;11;-28;26;4
 129;3;-390;-6;69;-205;-305;-1;0;-216;56;10;-2;12;-2;-40;124;-4;327;-181;-118;1;-41;17;5
 130;4;331;322;22;-145;-465;0;0;-167;-28;74;-2;40;-3;-40;75;-4;301;-166;-107;-12;-52;10;7
 131;5;845;627;33;-93;-537;-1;0;-120;-106;145;-2;57;-3;-25;53;-4;242;-113;-95;-18;-58;1;8
 132;6;955;810;98;-57;-504;-1;-1;-87;-175;199;-2;55;-2;-11;54;-4;179;-16;-96;-20;-61;-7;8
 133;7;613;811;188;-29;-387;-1;0;-75;-233;220;-2;31;-2;-11;61;-3;132;108;-120;-11;-59;-16;7
 134;7;-68;629;259;2;-234;-2;-1;-83;-274;200;-1;-16;0;-30;56;-2;114;229;-161;6;-62;-23;4
 135;7;-861;338;269;57;-98;-1;0;-105;-288;142;0;-73;2;-64;32;0;121;314;-203;24;-69;-28;-1
 136;5;-1490;68;207;137;-21;0;0;-132;-269;56;0;-124;2;-104;-9;2;143;344;-221;32;-75;-33;-4
 137;5;-1726;-78;89;222;-13;0;0;-154;-225;-35;0;-155;2;-139;-56;1;169;322;-195;16;-82;-36;-3
 138;5;-1459;-54;-41;289;-53;-1;-1;-165;-166;-121;0;-154;2;-161;-89;1;182;269;-120;-24;-82;-37;-2
 139;5;-766;113;-135;318;-97;-1;0;-161;-110;-187;1;-119;2;-162;-108;2;172;208;-11;-69;-74;-38;-4
 140;4;123;349;-154;301;-100;0;0;-144;-72;-222;1;-58;2;-141;-110;2;136;157;109;-97;-60;-42;-5
 141;3;894;555;-91;237;-39;-1;0;-115;-59;-226;1;15;2;-102;-97;3;87;127;210;-84;-49;-51;-5
 142;3;1281;644;31;141;85;0;1;-87;-68;-207;0;82;2;-55;-74;2;38;120;272;-17;-49;-60;-6
 143;2;1162;573;170;34;242;1;0;-68;-95;-182;0;124;1;-12;-49;2;10;130;293;89;-67;-68;-5
 144;2;588;357;273;-52;379;1;1;-58;-130;-167;0;130;1;10;-33;1;9;137;280;207;-101;-68;-3
 145;2;-235;75;308;-92;449;0;0;-51;-160;-175;-1;99;0;-1;-39;-1;31;123;249;293;-141;-62;2
 146;4;-1024;-164;259;-74;440;0;0;-35;-171;-202;-2;38;-2;-40;-68;-3;56;85;220;311;-178;-50;4
 147;4;-1504;-255;137;-10;366;1;1;-4;-156;-236;-2;-36;-2;-90;-112;-3;68;31;198;256;-197;-40;4
 148;4;-1502;-138;-22;78;261;1;1;47;-117;-262;-2;-103;-1;-134;-154;-2;54;-14;182;136;-189;-38;3
 149;5;-1001;167;-160;152;166;1;1;107;-58;-266;-2;-153;-2;-154;-174;-4;17;-28;174;-20;-149;-49;5
 150;6;-154;578;-231;182;110;-1;1;165;6;-248;-2;-183;-2;-143;-162;-5;-28;-1;163;-181;-77;-76;7
 151;6;745;970;-209;158;100;0;0;202;65;-205;-3;-201;-2;-107;-121;-5;-66;55;139;-319;19;-110;7
 152;8;1370;1223;-105;93;122;-1;0;204;111;-141;-2;-216;-2;-53;-70;-5;-82;112;99;-411;120;-143;8
 153;8;1479;1250;48;11;147;-1;0;173;141;-65;-3;-232;-2;7;-28;-4;-74;141;57;-447;208;-168;7
 154;8;1021;1031;203;-62;145;0;0;121;156;19;-1;-247;0;58;-7;-2;-48;125;29;-426;266;-178;3
 155;7;145;623;314;-112;96;0;0;68;158;98;0;-255;1;82;-14;1;-14;73;28;-351;286;-170;-2
 156;7;-861;145;349;-123;-2;0;0;29;148;170;1;-252;2;65;-37;1;14;8;53;-230;277;-137;-4
 157;6;-1671;-264;305;-99;-127;0;0;14;133;225;0;-234;1;1;-61;1;30;-44;90;-73;246;-76;-2
 158;6;-2020;-494;209;-48;-243;0;0;22;115;262;0;-198;2;-96;-76;1;27;-64;116;106;208;2;-3
 159;5;-1781;-492;89;7;-311;-1;0;42;94;286;1;-140;2;-202;-82;2;3;-45;111;285;168;82;-5
 160;5;-1020;-287;-16;48;-313;-1;-1;68;75;291;1;-66;2;-288;-90;3;-34;-2;71;441;135;148;-6
 161;4;24;34;-85;56;-260;0;1;89;56;281;1;19;2;-330;-104;2;-71;48;15;546;107;192;-6
 162;4;1003;351;-114;31;-175;0;1;98;40;255;1;107;2;-320;-127;3;-93;85;-32;574;82;215;-7
 163;3;1576;548;-113;-15;-94;0;0;88;20;214;0;191;2;-264;-155;2;-99;98;-47;507;58;220;-6
 164;3;1546;550;-103;-64;-41;1;0;62;-1;159;-1;259;2;-178;-184;0;-94;83;-29;337;36;215;-2
 165;3;924;359;-101;-93;-25;0;0;17;-21;96;-2;301;-1;-82;-203;-3;-87;49;15;88;18;206;3
 166;4;-73;54;-119;-91;-36;-1;0;-36;-33;33;-2;314;-2;7;-211;-4;-88;5;68;-187;12;193;6
 167;4;-1094;-245;-157;-57;-56;0;1;-86;-32;-23;-2;295;-2;77;-202;-2;-96;-35;111;-417;21;175;4
 168;5;-1788;-420;-202;-2;-56;0;0;-121;-14;-64;-3;254;-2;119;-175;-3;-113;-64;131;-535;46;145;5
 169;6;-1916;-401;-237;58;-19;-1;0;-134;12;-90;-3;200;-3;136;-133;-4;-137;-82;129;-523;78;102;7
 170;6;-1434;-185;-239;100;63;-1;0;-120;40;-101;-3;142;-3;132;-78;-5;-162;-92;108;-403;103;52;8
 171;8;-503;163;-194;114;175;-2;0;-84;60;-102;-2;83;-3;117;-10;-4;-189;-106;76;-225;108;8;7
 172;8;556;537;-103;100;291;-2;0;-33;64;-95;-2;30;-3;101;62;-5;-215;-127;37;-51;94;-21;9
 173;9;1367;810;25;68;370;-2;-1;26;52;-88;-1;-19;-2;96;127;-3;-234;-156;-4;84;65;-21;6
 174;9;1643;893;170;34;385;-1;0;79;28;-83;0;-57;0;96;178;-1;-243;-191;-43;171;33;5;1
 175;7;1281;755;300;19;324;-1;0;119;2;-85;1;-91;2;98;208;2;-235;-227;-79;215;15;49;-4
 176;6;405;443;386;29;197;1;1;141;-20;-90;1;-115;2;92;217;3;-207;-256;-118;227;18;90;-5
 177;7;-675;74;412;65;40;1;0;147;-33;-95;1;-131;2;84;206;2;-163;-276;-162;205;49;108;-4
 178;5;-1575;-221;384;118;-104;1;-1;132;-34;-95;1;-137;2;69;180;2;-110;-284;-211;147;98;95;-3
 179;6;-1978;-338;317;172;-197;1;0;109;-27;-81;0;-135;2;48;138;3;-58;-279;-262;59;152;55;-5
 180;5;-1734;-239;237;205;-222;1;0;82;-15;-53;1;-130;2;25;87;3;-10;-263;-311;-48;197;12;-5
 181;3;-916;37;164;205;-188;0;1;54;-3;-12;1;-122;2;2;31;3;35;-235;-349;-150;220;-13;-6
 182;4;206;394;103;164;-117;1;1;30;9;35;0;-117;2;-18;-25;3;79;-199;-376;-226;217;-1;-6
 183;3;1262;706;52;82;-46;1;1;10;20;80;0;-113;1;-29;-72;2;124;-157;-387;-264;185;52;-4
 184;4;1901;850;-1;-23;-10;1;1;-7;32;122;-2;-104;0;-33;-104;-1;170;-112;-382;-253;126;129;0
 185;4;1911;768;-67;-131;-16;0;1;-23;41;152;-2;-88;-2;-25;-118;-4;204;-62;-354;-190;42;206;5
 186;6;1286;472;-146;-213;-61;0;0;-39;47;169;-2;-62;-2;-12;-113;-3;221;-3;-304;-75;-60;258;5
 187;6;242;56;-234;-254;-116;1;0;-58;48;173;-2;-31;-1;-2;-92;-2;213;64;-235;74;-166;273;2
 188;5;-865;-341;-309;-249;-149;0;0;-76;47;164;-2;4;-1;-2;-60;-2;179;136;-155;227;-269;249;3
 189;7;-1662;-595;-350;-207;-138;0;0;-91;45;148;-1;42;-3;-20;-21;-4;125;205;-70;347;-358;198;5
 190;7;-1885;-629;-342;-143;-78;-1;0;-95;44;128;-2;80;-2;-51;16;-4;57;261;14;410;-428;125;7
 191;8;-1474;-452;-280;-75;13;-1;0;-82;43;105;-3;118;-3;-87;44;-4;-11;289;91;407;-477;36;7
 192;8;-594;-135;-178;-21;105;-2;-1;-50;39;79;-2;156;-2;-115;57;-4;-66;284;159;349;-497;-64;7
 193;8;435;205;-56;10;164;-2;-1;-1;27;51;-1;191;-1;-124;57;-3;-98;243;220;248;-487;-170;4
 194;9;1248;448;53;19;172;-1;0;57;7;20;0;222;0;-111;42;0;-104;173;273;117;-447;-277;0
 195;8;1563;512;127;16;129;0;0;108;-23;-16;1;239;2;-75;25;2;-86;92;309;-30;-383;-374;-4
 196;8;1280;386;154;9;55;0;-1;140;-57;-54;1;241;2;-28;8;2;-49;13;319;-167;-304;-453;-4
 197;7;510;129;144;6;-17;-1;-1;145;-87;-90;1;226;2;23;-3;2;-3;-47;301;-274;-215;-503;-3
 198;7;-465;-151;114;15;-57;-1;-1;116;-107;-121;1;196;1;65;-7;2;42;-78;254;-330;-123;-521;-4
 199;6;-1297;-341;92;42;-53;0;0;63;-109;-144;1;152;2;92;-9;4;75;-81;184;-337;-34;-501;-5
 200;5;-1689;-369;95;85;-10;0;0;-2;-90;-157;1;95;2;101;-13;3;93;-60;102;-307;52;-449;-6
 201;4;-1502;-221;122;134;54;0;0;-63;-53;-153;0;31;3;96;-23;3;92;-28;22;-256;125;-368;-6
 202;3;-801;50;161;182;106;0;1;-104;-3;-133;0;-38;2;81;-37;2;74;6;-44;-196;180;-271;-6
 203;4;172;345;197;218;119;1;0;-116;50;-98;0;-103;1;64;-53;1;42;31;-89;-131;220;-169;-4
 204;4;1079;563;208;231;86;1;0;-100;93;-52;-1;-160;-1;50;-66;-1;1;43;-110;-63;245;-70;0
 205;5;1613;625;181;217;14;0;1;-60;119;1;-2;-199;-2;45;-71;-4;-39;40;-111;4;262;19;5
 206;6;1606;513;117;175;-68;-1;1;-9;122;50;-2;-219;-1;46;-67;-3;-74;23;-94;68;268;93;4
 207;6;1080;267;29;116;-131;1;1;40;106;93;-2;-216;-1;50;-51;-4;-97;-1;-70;121;269;151;4
 208;6;236;-21;-58;46;-151;0;1;73;79;124;-3;-194;-2;48;-26;-4;-109;-28;-44;166;262;194;5
 209;7;-615;-248;-122;-15;-117;-1;0;85;51;138;-3;-155;-3;36;6;-5;-106;-53;-21;200;238;221;8
